"bin","tree_id","tree_in_bin","prop1","k","mean_mast","mean_coph","mean_preserved_cherries"
"05-10%",16,6,0.09375,18,17.9333333333333,0.00638039451090878,0.266666666666667
"05-10%",16,6,0.09375,19,18.3333333333333,0.0137894167133876,0.333333333333333
"05-10%",16,6,0.09375,20,19.8666666666667,0.0559999630982043,0.6
"05-10%",16,6,0.09375,21,20.6,0.0612389333587028,0.466666666666667
"05-10%",16,6,0.09375,22,21.9333333333333,0.0867380276796409,0.733333333333333
"05-10%",16,6,0.09375,23,22.4666666666667,0.164159543985075,0.466666666666667
"05-10%",16,6,0.09375,24,23.4,0.187203037866986,0.4
"05-10%",16,6,0.09375,25,24.7333333333333,0.21096040254523,0.666666666666667
"05-10%",16,6,0.09375,26,25.7333333333333,0.317100680159963,0.733333333333333
"05-10%",16,6,0.09375,27,26.7333333333333,0.400502196915249,0.733333333333333
"05-10%",16,6,0.09375,28,27.8,0.456989852684921,0.8
"05-10%",16,6,0.09375,29,28.8666666666667,0.550666351180803,0.866666666666667
"05-10%",16,6,0.09375,30,29.9333333333333,0.66512994868744,1.2
"05-10%",16,6,0.09375,31,31,0.81434193974604,1.4
"05-10%",16,6,0.09375,32,32,1,2
"05-10%",17,7,0.09375,1,30.9333333333333,0.817299764263587,1.66666666666667
"05-10%",17,7,0.09375,2,29.8,0.658417801171735,1.46666666666667
"05-10%",17,7,0.09375,3,29,0.541009698956128,1.46666666666667
"05-10%",17,7,0.09375,4,27.8666666666667,0.431015471304395,1.2
"05-10%",17,7,0.09375,5,26.8,0.355564121509449,1
"05-10%",17,7,0.09375,6,25.5333333333333,0.314904282258481,0.666666666666667
"05-10%",17,7,0.09375,7,24.8,0.210166472438015,0.8
"05-10%",17,7,0.09375,8,23.6666666666667,0.177902243134095,0.666666666666667
"05-10%",17,7,0.09375,9,22.3333333333333,0.155836159970529,0.266666666666667
"05-10%",17,7,0.09375,10,21.6666666666667,0.116420607086587,0.666666666666667
"05-10%",17,7,0.09375,11,21,0.0482015337724897,0.533333333333333
"05-10%",17,7,0.09375,12,19.5333333333333,0.0283058212552605,0.2
"05-10%",17,7,0.09375,13,18.3333333333333,0.0137915546290383,0.2
"05-10%",17,7,0.09375,14,17.5333333333333,0.00638039451090878,0.2
"05-10%",17,7,0.09375,15,18,-0.00762998502957252,0.266666666666667
"05-10%",17,7,0.09375,16,16.8,-0.008930030724649,0.333333333333333
"05-10%",17,7,0.09375,17,17.3333333333333,-0.00304588935272687,0.133333333333333
"05-10%",17,7,0.09375,18,18.2666666666667,-0.00466689455020816,0.4
"05-10%",17,7,0.09375,19,18.2666666666667,0.00641585338567972,0.0666666666666667
"05-10%",17,7,0.09375,20,19.9333333333333,0.0431687724649813,0.4
"05-10%",17,7,0.09375,21,20.7333333333333,0.0548105105092423,0.533333333333333
"05-10%",17,7,0.09375,22,21.5333333333333,0.103551670327885,0.533333333333333
"05-10%",17,7,0.09375,23,22.8,0.122527786700687,0.733333333333333
"05-10%",17,7,0.09375,24,23.4,0.177902243134095,0.4
"05-10%",17,7,0.09375,25,24.6666666666667,0.249233803517816,0.733333333333333
"05-10%",17,7,0.09375,26,25.8666666666667,0.308012035126797,0.933333333333333
"05-10%",17,7,0.09375,27,26.8666666666667,0.400502196915249,0.866666666666667
"05-10%",17,7,0.09375,28,27.6,0.472708152807029,0.866666666666667
"05-10%",17,7,0.09375,29,28.7333333333333,0.550666351180803,1.06666666666667
"05-10%",17,7,0.09375,30,29.9333333333333,0.651705653656031,1.46666666666667
"05-10%",17,7,0.09375,31,30.9333333333333,0.81434193974604,1.8
"05-10%",17,7,0.09375,32,32,1,2
"05-10%",18,8,0.0625,1,30.8666666666667,0.766158850398053,1.13333333333333
"05-10%",18,8,0.0625,2,29.8666666666667,0.590551264483786,1
"05-10%",18,8,0.0625,3,28.6666666666667,0.498702610581914,0.666666666666667
"05-10%",18,8,0.0625,4,27.8,0.418582626357481,0.8
"05-10%",18,8,0.0625,5,26.9333333333333,0.323589423895738,0.866666666666667
"05-10%",18,8,0.0625,6,25.8666666666667,0.253748426980857,0.666666666666667
"05-10%",18,8,0.0625,7,24.6,0.239524850870671,0.533333333333333
"05-10%",18,8,0.0625,8,23.5333333333333,0.137208446572946,0.4
"05-10%",18,8,0.0625,9,22.7333333333333,0.114268096000609,0.6
"05-10%",18,8,0.0625,10,21.8666666666667,0.0861479498150638,0.4
"05-10%",18,8,0.0625,11,20.8,0.0378756690487176,0.4
"05-10%",18,8,0.0625,12,19.4666666666667,0.032620053975836,0.0666666666666667
"05-10%",18,8,0.0625,13,18.6,0.00779492715696941,0.133333333333333
"05-10%",18,8,0.0625,14,19.1333333333333,0.0081662150641928,0.333333333333333
"05-10%",18,8,0.0625,15,17.7333333333333,-0.00601981545496754,0.4
"05-10%",18,8,0.0625,16,16.8666666666667,-0.00991934518577459,0.133333333333333
"05-10%",18,8,0.0625,17,18.2,-0.00850082478030894,0.266666666666667
"05-10%",18,8,0.0625,18,18.6,0.0106456559544387,0.466666666666667
"05-10%",18,8,0.0625,19,18.9333333333333,0.0177323000742727,0.333333333333333
"05-10%",18,8,0.0625,20,19.6,0.0289030879028865,0.333333333333333
"05-10%",18,8,0.0625,21,21.6666666666667,0.0529665376285841,0.666666666666667
"05-10%",18,8,0.0625,22,21.6,0.104698104534805,0.466666666666667
"05-10%",18,8,0.0625,23,22.6,0.130323163299271,0.333333333333333
"05-10%",18,8,0.0625,24,23.9333333333333,0.15446299046678,0.733333333333333
"05-10%",18,8,0.0625,25,24.5333333333333,0.21985782767207,0.4
"05-10%",18,8,0.0625,26,25.7333333333333,0.275780649737379,0.533333333333333
"05-10%",18,8,0.0625,27,26.8,0.311445609219594,0.733333333333333
"05-10%",18,8,0.0625,28,27.8,0.39231966573349,0.8
"05-10%",18,8,0.0625,29,28.9333333333333,0.45751271093684,0.933333333333333
"05-10%",18,8,0.0625,30,30,0.577474352325477,1
"05-10%",18,8,0.0625,31,30.9333333333333,0.766158850398053,1.2
"05-10%",18,8,0.0625,32,32,1,2
"05-10%",19,9,0.09375,1,31,0.817299764263587,2
"05-10%",19,9,0.09375,2,29.9333333333333,0.66512994868744,1.66666666666667
"05-10%",19,9,0.09375,3,29.2,0.531353046731452,1.6
"05-10%",19,9,0.09375,4,28.3333333333333,0.449130702623867,1.73333333333333
"05-10%",19,9,0.09375,5,27.2,0.365858759711354,1.4
"05-10%",19,9,0.09375,6,26.1333333333333,0.285138895830263,1.2
"05-10%",19,9,0.09375,7,25,0.263632694028693,1.26666666666667
"05-10%",19,9,0.09375,8,24.0666666666667,0.190600748790538,1.06666666666667
"05-10%",19,9,0.09375,9,23.0666666666667,0.164159543985075,1.06666666666667
"05-10%",19,9,0.09375,10,22.3333333333333,0.0944140134746034,0.733333333333333
"05-10%",19,9,0.09375,11,22.0666666666667,0.0733232311987967,0.933333333333333
"05-10%",19,9,0.09375,12,21.0666666666667,0.0266797893121517,0.8
"05-10%",19,9,0.09375,13,20.2666666666667,0.00921109279351174,0.666666666666667
"05-10%",19,9,0.09375,14,19.3333333333333,0.0100237166500882,0.866666666666667
"05-10%",19,9,0.09375,15,17.8,-0.00762376854123268,0.2
"05-10%",19,9,0.09375,16,17.7333333333333,-0.00709774553584396,0.266666666666667
"05-10%",19,9,0.09375,17,18.2,-0.00396146519042803,0.466666666666667
"05-10%",19,9,0.09375,18,19.2,0.000866526867315189,0.4
"05-10%",19,9,0.09375,19,20.5333333333333,0.00916370290386551,0.733333333333333
"05-10%",19,9,0.09375,20,20.1333333333333,0.059650526414161,0.733333333333333
"05-10%",19,9,0.09375,21,22.2666666666667,0.0770139934965866,1
"05-10%",19,9,0.09375,22,22.8666666666667,0.0797747082183258,0.8
"05-10%",19,9,0.09375,23,23.2,0.133257026652255,0.666666666666667
"05-10%",19,9,0.09375,24,24,0.186665359584312,1.06666666666667
"05-10%",19,9,0.09375,25,25.7333333333333,0.234834913006939,1.4
"05-10%",19,9,0.09375,26,26.0666666666667,0.310208433028279,1.4
"05-10%",19,9,0.09375,27,27.3333333333333,0.345732082141802,1.4
"05-10%",19,9,0.09375,28,27.9333333333333,0.449130702623867,1.4
"05-10%",19,9,0.09375,29,29.3333333333333,0.515788769939195,1.46666666666667
"05-10%",19,9,0.09375,30,29.7333333333333,0.678554243718849,1.66666666666667
"05-10%",19,9,0.09375,31,31.0666666666667,0.811384115228494,1.86666666666667
"05-10%",19,9,0.09375,32,32,1,2
"05-10%",20,10,0.09375,1,30.9333333333333,0.811384115228494,1.2
"05-10%",20,10,0.09375,2,29.8666666666667,0.685266391234553,0.866666666666667
"05-10%",20,10,0.09375,3,28.8666666666667,0.581794904765318,0.866666666666667
"05-10%",20,10,0.09375,4,27.8666666666667,0.456989852684921,0.866666666666667
"05-10%",20,10,0.09375,5,26.9333333333333,0.407991876149549,0.933333333333333
"05-10%",20,10,0.09375,6,25.6666666666667,0.294227540863429,0.666666666666667
"05-10%",20,10,0.09375,7,24.4666666666667,0.247169133291401,0.466666666666667
"05-10%",20,10,0.09375,8,23.8,0.170569143004317,0.733333333333333
"05-10%",20,10,0.09375,9,22.4666666666667,0.151320333306874,0.333333333333333
"05-10%",20,10,0.09375,10,21.6,0.0999156618775993,0.533333333333333
"05-10%",20,10,0.09375,11,20.6666666666667,0.0559441661426535,0.533333333333333
"05-10%",20,10,0.09375,12,20.1333333333333,0.0321809364988615,0.466666666666667
"05-10%",20,10,0.09375,13,19.1333333333333,0.0184194063542111,0.266666666666667
"05-10%",20,10,0.09375,14,18.6666666666667,-0.00462778700234865,0.333333333333333
"05-10%",20,10,0.09375,15,17.4666666666667,-0.0057988333541702,0.333333333333333
"05-10%",20,10,0.09375,16,17.4666666666667,-0.008930030724649,0.2
"05-10%",20,10,0.09375,17,18.1333333333333,-0.00579261686583035,0.0666666666666667
"05-10%",20,10,0.09375,18,17.9333333333333,0.000866526867315189,0.333333333333333
"05-10%",20,10,0.09375,19,18.8666666666667,0.0202024908662549,0.133333333333333
"05-10%",20,10,0.09375,20,19.8,0.0375625785180993,0.333333333333333
"05-10%",20,10,0.09375,21,20.8,0.0593935522098079,0.533333333333333
"05-10%",20,10,0.09375,22,21.8666666666667,0.0906827335691834,0.4
"05-10%",20,10,0.09375,23,22.6666666666667,0.13135324797681,0.4
"05-10%",20,10,0.09375,24,23.8,0.185235343263873,0.533333333333333
"05-10%",20,10,0.09375,25,24.6666666666667,0.227397062745508,0.666666666666667
"05-10%",20,10,0.09375,26,25.6,0.264462154435211,0.4
"05-10%",20,10,0.09375,27,26.8,0.360711440610402,0.8
"05-10%",20,10,0.09375,28,27.8,0.464849002745975,0.8
"05-10%",20,10,0.09375,29,28.8666666666667,0.558448489576932,0.866666666666667
"05-10%",20,10,0.09375,30,29.8666666666667,0.678554243718849,0.866666666666667
"05-10%",20,10,0.09375,31,30.8,0.811384115228494,1
"05-10%",20,10,0.09375,32,32,1,2
"05-10%",21,11,0.09375,1,30.8,0.817299764263587,1.13333333333333
