"bin","tree_id","tree_in_bin","prop1","k","rep","mast","coph","preserved_cherries"
"20-25%",1,1,0.21875,24,12,24,0.251969331396466,1
"20-25%",1,1,0.21875,24,13,24,0.232076449063374,1
"20-25%",1,1,0.21875,24,14,24,0.251969331396466,1
"20-25%",1,1,0.21875,24,15,24,0.166562102585841,1
"20-25%",1,1,0.21875,25,1,25,0.258360828941476,1
"20-25%",1,1,0.21875,25,2,25,0.328370882780884,1
"20-25%",1,1,0.21875,25,3,25,0.289514926004723,1
"20-25%",1,1,0.21875,25,4,25,0.289514926004723,1
"20-25%",1,1,0.21875,25,5,24,0.289514926004723,0
"20-25%",1,1,0.21875,25,6,25,0.289514926004723,1
"20-25%",1,1,0.21875,25,7,25,0.328370882780884,1
"20-25%",1,1,0.21875,25,8,25,0.289514926004723,1
"20-25%",1,1,0.21875,25,9,24,0.31330852566113,0
"20-25%",1,1,0.21875,25,10,24,0.31330852566113,0
"20-25%",1,1,0.21875,25,11,25,0.258360828941476,1
"20-25%",1,1,0.21875,25,12,25,0.289514926004723,1
"20-25%",1,1,0.21875,25,13,24,0.328370882780884,0
"20-25%",1,1,0.21875,25,14,24,0.31330852566113,0
"20-25%",1,1,0.21875,25,15,25,0.289514926004723,1
"20-25%",1,1,0.21875,26,1,26,0.354492890892525,1
"20-25%",1,1,0.21875,26,2,26,0.354492890892525,1
"20-25%",1,1,0.21875,26,3,26,0.381029478840382,1
"20-25%",1,1,0.21875,26,4,26,0.322831708350996,1
"20-25%",1,1,0.21875,26,5,26,0.322831708350996,1
"20-25%",1,1,0.21875,26,6,26,0.354492890892525,1
"20-25%",1,1,0.21875,26,7,25,0.400302091418813,0
"20-25%",1,1,0.21875,26,8,26,0.381029478840382,1
"20-25%",1,1,0.21875,26,9,26,0.400302091418813,1
"20-25%",1,1,0.21875,26,10,25,0.381029478840382,0
"20-25%",1,1,0.21875,26,11,26,0.354492890892525,1
"20-25%",1,1,0.21875,26,12,26,0.400302091418813,1
"20-25%",1,1,0.21875,26,13,25,0.381029478840382,0
"20-25%",1,1,0.21875,26,14,26,0.400302091418813,1
"20-25%",1,1,0.21875,26,15,26,0.381029478840382,1
"20-25%",1,1,0.21875,27,1,27,0.428474954993477,1
"20-25%",1,1,0.21875,27,2,27,0.45588040536995,1
"20-25%",1,1,0.21875,27,3,27,0.428474954993477,1
"20-25%",1,1,0.21875,27,4,27,0.428474954993477,1
"20-25%",1,1,0.21875,27,5,27,0.428474954993477,1
"20-25%",1,1,0.21875,27,6,27,0.399722702450115,1
"20-25%",1,1,0.21875,27,7,27,0.45588040536995,1
"20-25%",1,1,0.21875,27,8,27,0.478343469219257,1
"20-25%",1,1,0.21875,27,9,27,0.428474954993477,1
"20-25%",1,1,0.21875,27,10,27,0.428474954993477,1
"20-25%",1,1,0.21875,27,11,26,0.45588040536995,0
"20-25%",1,1,0.21875,27,12,27,0.45588040536995,1
"20-25%",1,1,0.21875,27,13,26,0.45588040536995,0
"20-25%",1,1,0.21875,27,14,26,0.428474954993477,0
"20-25%",1,1,0.21875,27,15,26,0.478343469219257,0
"20-25%",1,1,0.21875,28,1,28,0.539089438579335,1
"20-25%",1,1,0.21875,28,2,28,0.56308318190117,1
"20-25%",1,1,0.21875,28,3,27,0.539089438579335,1
"20-25%",1,1,0.21875,28,4,28,0.539089438579335,1
"20-25%",1,1,0.21875,28,5,28,0.539089438579335,1
"20-25%",1,1,0.21875,28,6,28,0.56308318190117,1
"20-25%",1,1,0.21875,28,7,28,0.513827893175074,1
"20-25%",1,1,0.21875,28,8,27,0.56308318190117,0
"20-25%",1,1,0.21875,28,9,27,0.56308318190117,0
"20-25%",1,1,0.21875,28,10,28,0.539089438579335,1
"20-25%",1,1,0.21875,28,11,28,0.56308318190117,1
"20-25%",1,1,0.21875,28,12,28,0.56308318190117,1
"20-25%",1,1,0.21875,28,13,27,0.539089438579335,0
"20-25%",1,1,0.21875,28,14,28,0.539089438579335,1
"20-25%",1,1,0.21875,28,15,28,0.539089438579335,1
"20-25%",1,1,0.21875,29,1,28,0.655518980608224,0
"20-25%",1,1,0.21875,29,2,29,0.614436488413877,2
"20-25%",1,1,0.21875,29,3,28,0.655518980608224,1
"20-25%",1,1,0.21875,29,4,29,0.655518980608224,1
"20-25%",1,1,0.21875,29,5,29,0.614436488413877,2
"20-25%",1,1,0.21875,29,6,29,0.632611906255878,1
"20-25%",1,1,0.21875,29,7,29,0.655518980608224,1
"20-25%",1,1,0.21875,29,8,29,0.655518980608224,1
"20-25%",1,1,0.21875,29,9,29,0.632611906255878,1
"20-25%",1,1,0.21875,29,10,29,0.632611906255878,1
"20-25%",1,1,0.21875,29,11,29,0.614436488413877,1
"20-25%",1,1,0.21875,29,12,29,0.632611906255878,1
"20-25%",1,1,0.21875,29,13,29,0.632611906255878,1
"20-25%",1,1,0.21875,29,14,28,0.655518980608224,0
"20-25%",1,1,0.21875,29,15,29,0.655518980608224,1
"20-25%",1,1,0.21875,30,1,30,0.757248994936475,1
"20-25%",1,1,0.21875,30,2,29,0.757248994936475,1
"20-25%",1,1,0.21875,30,3,30,0.757248994936475,1
