"bin","k","rep","mast"
"10-20%",19,7,19
"10-20%",19,8,17
"10-20%",19,9,18
"10-20%",19,10,19
"10-20%",19,11,19
"10-20%",19,12,19
"10-20%",19,13,14
"10-20%",19,14,19
"10-20%",19,15,19
"10-20%",20,1,15
"10-20%",20,2,19
"10-20%",20,3,20
"10-20%",20,4,20
"10-20%",20,5,20
"10-20%",20,6,20
"10-20%",20,7,22
"10-20%",20,8,20
"10-20%",20,9,21
"10-20%",20,10,20
"10-20%",20,11,20
"10-20%",20,12,20
"10-20%",20,13,22
"10-20%",20,14,20
"10-20%",20,15,20
"10-20%",21,1,21
"10-20%",21,2,21
"10-20%",21,3,21
"10-20%",21,4,21
"10-20%",21,5,21
"10-20%",21,6,21
"10-20%",21,7,21
"10-20%",21,8,21
"10-20%",21,9,21
"10-20%",21,10,21
"10-20%",21,11,21
"10-20%",21,12,21
"10-20%",21,13,21
"10-20%",21,14,21
"10-20%",21,15,21
"10-20%",22,1,22
"10-20%",22,2,22
"10-20%",22,3,22
"10-20%",22,4,22
"10-20%",22,5,22
"10-20%",22,6,22
"10-20%",22,7,22
"10-20%",22,8,21
"10-20%",22,9,22
"10-20%",22,10,22
"10-20%",22,11,22
"10-20%",22,12,22
"10-20%",22,13,22
"10-20%",22,14,22
"10-20%",22,15,22
"10-20%",23,1,23
"10-20%",23,2,23
"10-20%",23,3,23
"10-20%",23,4,23
"10-20%",23,5,23
"10-20%",23,6,23
"10-20%",23,7,23
"10-20%",23,8,23
"10-20%",23,9,23
"10-20%",23,10,23
"10-20%",23,11,23
"10-20%",23,12,23
"10-20%",23,13,23
"10-20%",23,14,23
"10-20%",23,15,23
"10-20%",24,1,24
"10-20%",24,2,24
"10-20%",24,3,24
"10-20%",24,4,24
"10-20%",24,5,24
"10-20%",24,6,24
"10-20%",24,7,24
"10-20%",24,8,24
"10-20%",24,9,24
"10-20%",24,10,24
"10-20%",24,11,24
"10-20%",24,12,24
"10-20%",24,13,24
"10-20%",24,14,24
"10-20%",24,15,24
"10-20%",25,1,24
"10-20%",25,2,25
"10-20%",25,3,25
"10-20%",25,4,25
"10-20%",25,5,25
"10-20%",25,6,25
"10-20%",25,7,25
"10-20%",25,8,24
"10-20%",25,9,25
"10-20%",25,10,25
"10-20%",25,11,25
"10-20%",25,12,25
"10-20%",25,13,25
"10-20%",25,14,25
"10-20%",25,15,25
"10-20%",26,1,26
"10-20%",26,2,25
"10-20%",26,3,26
"10-20%",26,4,26
"10-20%",26,5,26
"10-20%",26,6,26
"10-20%",26,7,26
"10-20%",26,8,26
"10-20%",26,9,26
"10-20%",26,10,26
"10-20%",26,11,26
"10-20%",26,12,26
"10-20%",26,13,26
"10-20%",26,14,26
"10-20%",26,15,26
"10-20%",27,1,27
