"bin","k","mean_mast","sd_mast","mean_coph","sd_coph"
"55-60%",30,28.6566666666667,NA,0.765750831652105,NA
"55-60%",31,30.9733333333333,NA,0.878982345221879,NA
"55-60%",32,32,NA,1,NA
"60-65%",1,30.9766666666667,NA,0.878868532310453,NA
"60-65%",2,29.95,NA,0.76542648773797,NA
"60-65%",3,28.9466666666667,NA,0.659769153929198,NA
"60-65%",4,27.2833333333333,NA,0.561851415692193,NA
"60-65%",5,26.2166666666667,NA,0.471902306068087,NA
"60-65%",6,24.43,NA,0.389574776646499,NA
"60-65%",7,23.47,NA,0.315246619921509,NA
"60-65%",8,22.49,NA,0.248294164478948,NA
"60-65%",9,21.1333333333333,NA,0.189931011103294,NA
"60-65%",10,20.44,NA,0.13892749616729,NA
"60-65%",11,19.1033333333333,NA,0.0960794466535645,NA
"60-65%",12,18.5733333333333,NA,0.0608115481383301,NA
"60-65%",13,17.8233333333333,NA,0.0333456996133954,NA
"60-65%",14,17.42,NA,0.013573207169026,NA
"60-65%",15,17.1,NA,0.00216052841443358,NA
"60-65%",16,17.06,NA,-0.0018001860105345,NA
"60-65%",17,17.1766666666667,NA,0.00183570676408931,NA
"60-65%",18,17.35,NA,0.0138155881507457,NA
"60-65%",19,17.5233333333333,NA,0.0332897070627909,NA
"60-65%",20,18.3,NA,0.0607868574752058,NA
"60-65%",21,19.1666666666667,NA,0.0957067143250869,NA
"60-65%",22,20.19,NA,0.138852749139768,NA
"60-65%",23,20.93,NA,0.189678078015387,NA
"60-65%",24,22.41,NA,0.248763761923171,NA
"60-65%",25,23.35,NA,0.315016928886853,NA
"60-65%",26,24.55,NA,0.389505417895294,NA
"60-65%",27,26.3766666666667,NA,0.471629157713256,NA
"60-65%",28,27.2433333333333,NA,0.561852958041839,NA
"60-65%",29,28.8966666666667,NA,0.659783481596622,NA
"60-65%",30,29.9666666666667,NA,0.765478480108876,NA
"60-65%",31,30.9766666666667,NA,0.878873676127267,NA
"60-65%",32,32,NA,1,NA
"65-70%",1,30.98,NA,0.878200274826392,NA
"65-70%",2,29.9566666666667,NA,0.764193672778664,NA
"65-70%",3,28.9433333333333,NA,0.658265485455553,NA
"65-70%",4,27.9866666666667,NA,0.560302524160415,NA
"65-70%",5,26.8833333333333,NA,0.469911759423933,NA
"65-70%",6,25.7266666666667,NA,0.387796541421997,NA
"65-70%",7,24.4566666666667,NA,0.313861358249811,NA
"65-70%",8,23.0333333333333,NA,0.246323728178591,NA
"65-70%",9,22.42,NA,0.187676517321688,NA
"65-70%",10,21.0166666666667,NA,0.137580133251389,NA
"65-70%",11,20.2033333333333,NA,0.094058401405739,NA
"65-70%",12,19.31,NA,0.0594851139281223,NA
"65-70%",13,18.6466666666667,NA,0.0321880680459309,NA
"65-70%",14,18.2566666666667,NA,0.0119960931005912,NA
"65-70%",15,17.9966666666667,NA,0.000606789334423786,NA
"65-70%",16,17.97,NA,-0.00387670451029613,NA
"65-70%",17,17.9833333333333,NA,0.000980234915748549,NA
"65-70%",18,18.3066666666667,NA,0.0124081348879052,NA
"65-70%",19,18.5733333333333,NA,0.0320734223044941,NA
"65-70%",20,19.35,NA,0.0589416721494179,NA
"65-70%",21,20.2433333333333,NA,0.0940716558629653,NA
"65-70%",22,20.8966666666667,NA,0.137283132880003,NA
"65-70%",23,22.01,NA,0.188127510579948,NA
"65-70%",24,23.03,NA,0.246881006313982,NA
"65-70%",25,24.5133333333333,NA,0.31311976522598,NA
"65-70%",26,25.57,NA,0.387877594666909,NA
"65-70%",27,26.8166666666667,NA,0.469400698902468,NA
"65-70%",28,28,NA,0.560083721712049,NA
"65-70%",29,28.98,NA,0.658137024282453,NA
"65-70%",30,29.9666666666667,NA,0.764086608250436,NA
"65-70%",31,30.98,NA,0.878147977234033,NA
"65-70%",32,32,NA,1,NA
"70-75%",1,30.9333333333333,NA,0.876076888459339,NA
"70-75%",2,29.9466666666667,NA,0.760911581859734,NA
"70-75%",3,28.9466666666667,NA,0.653926489816255,NA
"70-75%",4,27.94,NA,0.555433147465462,NA
"70-75%",5,26.95,NA,0.465972491298904,NA
